K,loss_L2,loss_cosine
1,15356525.446500309,479328.3143759255
101,15299163.391355341,438485.00379636814
201,15285855.277925288,433584.79337941913
301,15276564.158205248,430587.73907798843
401,15270103.055275882,428352.3660466678
501,15264356.544418966,426545.45356298785
601,15259306.276752967,425031.5376490086
701,15255122.845079472,423701.5923156129
801,15251397.905726712,422505.6170676384
901,15247818.353694648,421451.17981027183
